dataset,alpha,beta,score
Parkinson,0,0,0.96875
Parkinson,0,0.5,0.9375
Parkinson,0,1,0.90625
Parkinson,0,5,0.90625
Parkinson,0,10,0.875
Parkinson,0.5,0,1.0
Parkinson,0.5,0.5,1.0
Parkinson,0.5,1,0.9375
Parkinson,0.5,5,0.9375
Parkinson,0.5,10,0.9375
Parkinson,1,0,1.0
Parkinson,1,0.5,0.96875
Parkinson,1,1,0.96875
Parkinson,1,5,0.96875
Parkinson,1,10,0.96875
Parkinson,5,0,0.8125
Parkinson,5,0.5,0.8125
Parkinson,5,1,0.8125
Parkinson,5,5,0.8125
Parkinson,5,10,0.8125
Parkinson,10,0,0.8125
Parkinson,10,0.5,0.8125
Parkinson,10,1,0.8125
Parkinson,10,5,0.8125
Parkinson,10,10,0.8125
HTRU2,0,0,0.978701114654541
HTRU2,0,0.5,0.978701114654541
HTRU2,0,1,0.9790502786636353
HTRU2,0,5,0.9780027866363525
HTRU2,0,10,0.9773044586181641
HTRU2,0.5,0,0.9769552946090698
HTRU2,0.5,0.5,0.9752094745635986
HTRU2,0.5,1,0.9741619825363159
HTRU2,0.5,5,0.9738128781318665
HTRU2,0.5,10,0.9748603105545044
HTRU2,1,0,0.9762569665908813
HTRU2,1,0.5,0.9741619825363159
HTRU2,1,1,0.973114550113678
HTRU2,1,5,0.9675279259681702
HTRU2,1,10,0.9682262539863586
HTRU2,5,0,0.903282105922699
HTRU2,5,0.5,0.903282105922699
HTRU2,5,1,0.903282105922699
HTRU2,5,5,0.903282105922699
HTRU2,5,10,0.903282105922699
HTRU2,10,0,0.903282105922699
HTRU2,10,0.5,0.903282105922699
HTRU2,10,1,0.903282105922699
HTRU2,10,5,0.903282105922699
HTRU2,10,10,0.903282105922699
Wine,0,0,0.5063775777816772
Wine,0,0.5,0.5127550959587097
Wine,0,1,0.4897959232330322
Wine,0,5,0.5114796161651611
Wine,0,10,0.519132673740387
Wine,0.5,0,0.5140306353569031
Wine,0.5,0.5,0.4566326439380646
Wine,0.5,1,0.45790815353393555
Wine,0.5,5,0.4553571343421936
Wine,0.5,10,0.4553571343421936
Wine,1,0,0.4553571343421936
Wine,1,0.5,0.4553571343421936
Wine,1,1,0.4553571343421936
Wine,1,5,0.4553571343421936
Wine,1,10,0.4553571343421936
Wine,5,0,0.4553571343421936
Wine,5,0.5,0.4553571343421936
Wine,5,1,0.4553571343421936
Wine,5,5,0.4553571343421936
Wine,5,10,0.4553571343421936
Wine,10,0,0.4553571343421936
Wine,10,0.5,0.4553571343421936
Wine,10,1,0.4553571343421936
Wine,10,5,0.4553571343421936
Wine,10,10,0.4553571343421936
