dataset,model_l1_all_features,model_max_all_features,model_l2_all_features,model_l1_partial,model_max_partial,model_l2_partial
Spam,0.9736841917037964,0.9736841917037964,0.9736841917037964,0.973 +- 0.01,0.972 +- 0.007,0.97 +- 0.007
Iris,0.8666666746139526,0.9333333373069763,0.9333333373069763,0.867 +- 0.024,0.933 +- 0.0,0.75 +- 0.107
Banknote,0.9890909194946289,1.0,0.9599999785423279,0.915 +- 0.043,0.895 +- 0.042,0.842 +- 0.099
Accent,0.7121211886405945,0.7575757503509521,0.7575757503509521,0.682 +- 0.022,0.718 +- 0.028,0.701 +- 0.03
Wine,0.5163265466690063,0.5622448921203613,0.5642856955528259,0.509 +- 0.017,0.555 +- 0.012,0.542 +- 0.016
Credit,0.8138333559036255,0.8108333349227905,0.8105000257492065,0.811 +- 0.006,0.81 +- 0.004,0.809 +- 0.006
Wifi,0.9700000286102295,0.9825000166893005,0.9725000262260437,0.965 +- 0.014,0.967 +- 0.012,0.938 +- 0.061
Ecoli,0.6323529481887817,0.720588207244873,0.6470588445663452,0.624 +- 0.015,0.628 +- 0.01,0.681 +- 0.031
Sonar,0.8095238208770752,0.8571428656578064,0.8095238208770752,0.814 +- 0.013,0.81 +- 0.006,0.863 +- 0.021
Breast,0.9824561476707458,0.9736841917037964,0.9736841917037964,0.977 +- 0.006,0.969 +- 0.009,0.966 +- 0.007
HTRU2,0.9773743152618408,0.978212296962738,0.9793295860290527,0.977 +- 0.001,0.978 +- 0.002,0.968 +- 0.021
Parkinson,0.8717948794364929,0.8974359035491943,0.9743589758872986,0.871 +- 0.005,0.956 +- 0.026,0.889 +- 0.04
