dataset,n_epochs,reg_type,weight_type,alpha,lr,verbose,full_score,partial_score
Banknote,300,l1,None,0,0.001,False,0.9709091186523438,0.9000000059604645 +- 0.04882078805124263
Banknote,300,l1,None,0,0.001,False,0.9709091186523438,0.8890909105539322 +- 0.05260174461099548
Banknote,300,l1,None,0,0.01,False,0.9818181991577148,0.8863636404275894 +- 0.07809192691544734
Banknote,300,l1,None,0,0.01,False,0.9818181991577148,0.915454551577568 +- 0.04493337971851868
Banknote,300,l1,None,0,0.1,False,0.9709091186523438,0.9072727262973785 +- 0.06120012510386874
Banknote,300,l1,None,0,0.1,False,0.9818181991577148,0.8845454603433609 +- 0.07885022103818214
Banknote,300,l1,None,0,0.001,False,0.9272727370262146,0.8299999982118607 +- 0.11854141117220104
Banknote,300,l1,None,0,0.001,False,0.9272727370262146,0.8299999982118607 +- 0.10637141760432661
Banknote,300,l1,None,0,0.01,False,0.9927272796630859,0.8509090840816498 +- 0.0854738922303604
Banknote,300,l1,None,0,0.01,False,0.8799999952316284,0.8145454525947571 +- 0.10504623444549313
Banknote,300,l1,None,0,0.1,False,0.996363639831543,0.8427272737026215 +- 0.09687258972916211
Banknote,300,l1,None,0,0.1,False,0.9927272796630859,0.8500000089406967 +- 0.08923457901085019
Banknote,300,l1,None,0,0.001,False,0.9927272796630859,0.9036363661289215 +- 0.056187420740903424
Banknote,300,l1,None,0,0.001,False,0.9709091186523438,0.9009090960025787 +- 0.04785479119305098
Banknote,300,l1,None,0,0.01,False,0.9745454788208008,0.901818186044693 +- 0.053133212343556106
Banknote,300,l1,None,0,0.01,False,0.9818181991577148,0.8800000101327896 +- 0.08528029289612114
Banknote,300,l1,None,0,0.1,False,0.9636363387107849,0.8945454657077789 +- 0.04844693664791243
Banknote,300,l1,None,0,0.1,False,0.9781818389892578,0.9045454561710358 +- 0.06471169858801566
Banknote,300,l1,None,0,0.001,False,0.996363639831543,0.8454545587301254 +- 0.09529423465460363
Banknote,300,l1,None,0,0.001,False,0.996363639831543,0.8445454686880112 +- 0.09539391678467293
Banknote,300,l1,None,0,0.01,False,0.9709091186523438,0.8790909051895142 +- 0.06627641303905499
Banknote,300,l1,None,0,0.01,False,0.9127272963523865,0.8709090799093246 +- 0.03962634153890233
Banknote,300,l1,None,0,0.1,False,0.9927272796630859,0.8663636296987534 +- 0.0851008215065894
Banknote,300,l1,None,0,0.1,False,1.0,0.8490909039974213 +- 0.09161543966394765
Banknote,300,l1,None,0.5,0.001,False,0.9527272582054138,0.8654545396566391 +- 0.08069942148009093
Banknote,300,l1,None,0.5,0.001,False,0.9709091186523438,0.9000000059604645 +- 0.06394729745448463
Banknote,300,l1,None,0.5,0.01,False,0.9672726988792419,0.8963636457920074 +- 0.06844192853036482
Banknote,300,l1,None,0.5,0.01,False,0.9745454788208008,0.8909091055393219 +- 0.06101077837351646
Banknote,300,l1,None,0.5,0.1,False,0.9672726988792419,0.9118181765079498 +- 0.046877705076158786
Banknote,300,l1,None,0.5,0.1,False,0.9599999785423279,0.9009090960025787 +- 0.04044176554680724
Banknote,300,l1,None,0.5,0.001,False,0.9781818389892578,0.8836363703012466 +- 0.06994684640079621
Banknote,300,l1,None,0.5,0.001,False,0.996363639831543,0.8763636201620102 +- 0.08191913949384377
Banknote,300,l1,None,0.5,0.01,False,0.9745454788208008,0.8945454657077789 +- 0.05058335322351289
Banknote,300,l1,None,0.5,0.01,False,0.9781818389892578,0.9000000059604645 +- 0.0508115752898633
Banknote,300,l1,None,0.5,0.1,False,0.9636363387107849,0.8809090852737427 +- 0.0625293139228047
Banknote,300,l1,None,0.5,0.1,False,0.9745454788208008,0.908181831240654 +- 0.05157839142855623
Banknote,300,l1,None,0.5,0.001,False,0.9709091186523438,0.915454551577568 +- 0.04652379182812456
Banknote,300,l1,None,0.5,0.001,False,0.9709091186523438,0.8763636499643326 +- 0.08240196664558606
Banknote,300,l1,None,0.5,0.01,False,0.9745454788208008,0.915454551577568 +- 0.04456400939226308
