dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Accent,521,l2,None,0.5,False,True,0.1,32,0.9056603908538818,0.865 +- 0.029,0.865,0.040660390853881845
Accent,1497,var,None,1.0,True,False,0.01,32,0.9245283007621764,0.849 +- 0.03,0.849,0.07552830076217643
Accent,769,l2,avg,1.0,True,True,0.001,32,0.849056601524353,0.847 +- 0.033,0.847,0.002056601524353052
Accent,1590,var,loss,0.5,True,True,0.1,64,0.8679245114326477,0.84 +- 0.03,0.84,0.027924511432647736
Accent,649,l2,loss,1.0,True,True,0.001,32,0.849056601524353,0.832 +- 0.033,0.832,0.017056601524353066
Accent,783,l2,avg,1.0,False,True,0.01,32,0.8679245114326477,0.832 +- 0.033,0.832,0.03592451143264774
Accent,1026,max,None,1.0,False,True,0.1,64,0.8679245114326477,0.832 +- 0.036,0.832,0.03592451143264774
Accent,568,l2,None,2.0,False,True,0.01,64,0.8867924809455872,0.832 +- 0.03,0.832,0.054792480945587196
Accent,916,l2,mult,2.0,True,True,0.01,64,0.849056601524353,0.83 +- 0.028,0.83,0.019056601524353067
Accent,268,l1,avg,0.5,True,True,0.01,64,0.8867924809455872,0.83 +- 0.026,0.83,0.0567924809455872
Accent,1122,max,loss,0.5,False,True,0.1,64,0.8867924809455872,0.83 +- 0.051,0.83,0.0567924809455872
Accent,1264,max,avg,1.0,False,True,0.01,64,0.9056603908538818,0.83 +- 0.052,0.83,0.07566039085388188
Accent,546,l2,None,1.0,False,True,0.1,64,0.8679245114326477,0.825 +- 0.035,0.825,0.04292451143264775
Accent,555,l2,None,2.0,True,True,0.01,32,0.8867924809455872,0.825 +- 0.049,0.825,0.0617924809455872
Accent,807,l2,avg,2.0,False,True,0.01,32,0.8301886916160583,0.822 +- 0.021,0.822,0.008188691616058397
Accent,533,l2,None,1.0,True,True,0.1,32,0.849056601524353,0.822 +- 0.029,0.822,0.027056601524353074
Accent,617,l2,loss,0.0,False,True,0.1,32,0.849056601524353,0.821 +- 0.035,0.821,0.028056601524353075
Accent,1600,var,loss,0.5,False,True,0.01,64,0.8679245114326477,0.821 +- 0.045,0.821,0.04692451143264775
Accent,7,l1,None,0.0,True,False,0.001,32,0.8867924809455872,0.821 +- 0.046,0.821,0.0657924809455872
Accent,1145,max,loss,1.0,False,True,0.1,32,0.8867924809455872,0.821 +- 0.04,0.821,0.0657924809455872
Accent,1094,max,loss,0.0,False,True,0.001,64,0.849056601524353,0.819 +- 0.044,0.819,0.030056601524353077
Accent,726,l2,avg,0.0,True,True,0.1,64,0.8679245114326477,0.819 +- 0.048,0.819,0.048924511432647755
Accent,1830,var,mult,0.5,True,True,0.1,64,0.849056601524353,0.818 +- 0.04,0.818,0.031056601524353078
Accent,639,l2,loss,0.5,False,True,0.01,32,0.8679245114326477,0.818 +- 0.044,0.818,0.049924511432647756
Accent,1609,var,loss,1.0,True,True,0.001,32,0.8301886916160583,0.816 +- 0.031,0.816,0.014188691616058402
Accent,753,l2,avg,0.5,True,False,0.01,32,0.8867924809455872,0.816 +- 0.044,0.816,0.07079248094558721
Accent,790,l2,avg,1.0,False,False,0.01,64,0.849056601524353,0.814 +- 0.031,0.814,0.03505660152435308
Accent,987,max,None,0.5,True,True,0.01,32,0.849056601524353,0.814 +- 0.02,0.814,0.03505660152435308
Accent,1722,var,avg,0.5,False,True,0.1,64,0.849056601524353,0.814 +- 0.023,0.814,0.03505660152435308
Accent,894,l2,mult,1.0,True,True,0.1,64,0.8679245114326477,0.814 +- 0.036,0.814,0.05392451143264776
Accent,1032,max,None,1.0,False,False,0.1,64,0.9056603908538818,0.814 +- 0.032,0.814,0.09166039085388189
Accent,630,l2,loss,0.5,True,True,0.1,64,0.849056601524353,0.813 +- 0.029,0.813,0.03605660152435308
Accent,1217,max,avg,0.0,False,True,0.1,32,0.849056601524353,0.813 +- 0.029,0.813,0.03605660152435308
Accent,1405,max,mult,2.0,False,True,0.001,32,0.849056601524353,0.813 +- 0.042,0.813,0.03605660152435308
