dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Ecoli,891,l2,mult,1.0,True,True,0.01,32,0.8679245114326477,0.833 +- 0.053,0.833,0.03492451143264774
Ecoli,1731,var,avg,1.0,True,True,0.01,32,0.849056601524353,0.814 +- 0.043,0.814,0.03505660152435308
Ecoli,1450,var,None,0.0,True,False,0.01,64,0.849056601524353,0.798 +- 0.048,0.798,0.051056601524352985
Ecoli,1623,var,loss,1.0,False,True,0.01,32,0.8113207817077637,0.795 +- 0.033,0.795,0.016320781707763632
Ecoli,1837,var,mult,0.5,False,True,0.001,32,0.8113207817077637,0.795 +- 0.048,0.795,0.016320781707763632
Ecoli,1242,max,avg,0.5,False,True,0.1,64,0.8113207817077637,0.792 +- 0.045,0.792,0.019320781707763635
Ecoli,1489,var,None,1.0,True,True,0.001,32,0.8301886916160583,0.792 +- 0.04,0.792,0.03818869161605831
Ecoli,905,l2,mult,1.0,False,True,0.1,32,0.8113207817077637,0.79 +- 0.036,0.79,0.021320781707763636
Ecoli,1230,max,avg,0.5,True,True,0.1,64,0.8113207817077637,0.79 +- 0.041,0.79,0.021320781707763636
Ecoli,630,l2,loss,0.5,True,True,0.1,64,0.8301886916160583,0.79 +- 0.037,0.79,0.040188691616058314
Ecoli,1686,var,avg,0.0,True,True,0.1,64,0.8301886916160583,0.79 +- 0.041,0.79,0.040188691616058314
Ecoli,1830,var,mult,0.5,True,True,0.1,64,0.8113207817077637,0.787 +- 0.039,0.787,0.02432078170776364
Ecoli,570,l2,None,2.0,False,True,0.1,64,0.8301886916160583,0.787 +- 0.041,0.787,0.04318869161605832
Ecoli,970,max,None,0.0,True,False,0.01,64,0.8301886916160583,0.787 +- 0.054,0.787,0.04318869161605832
Ecoli,1502,var,None,1.0,False,True,0.001,64,0.8301886916160583,0.787 +- 0.036,0.787,0.04318869161605832
Ecoli,558,l2,None,2.0,True,True,0.1,64,0.8113207817077637,0.784 +- 0.039,0.784,0.02732078170776364
Ecoli,666,l2,loss,1.0,False,True,0.1,64,0.8113207817077637,0.784 +- 0.038,0.784,0.02732078170776364
Ecoli,1167,max,loss,2.0,False,True,0.01,32,0.8113207817077637,0.784 +- 0.033,0.784,0.02732078170776364
Ecoli,546,l2,None,1.0,False,True,0.1,64,0.8113207817077637,0.782 +- 0.047,0.782,0.029320781707763643
