dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Iris,18,l1,None,0.0,False,True,0.1,64,1.0,1.0 +- 0.0,1.0,0.0
Iris,186,l1,loss,1.0,False,True,0.1,64,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,270,l1,avg,0.5,True,True,0.1,64,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,509,l2,None,0.5,True,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,653,l2,loss,1.0,True,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,869,l2,mult,0.5,True,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,881,l2,mult,0.5,False,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,977,max,None,0.0,False,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,989,max,None,0.5,True,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,1037,max,None,2.0,True,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,1145,max,loss,1.0,False,True,0.1,32,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,1776,var,avg,2.0,False,False,0.1,64,1.0,0.99 +- 0.018,0.99,0.010000000000000009
Iris,46,l1,None,0.5,False,False,0.01,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,310,l1,avg,1.0,False,False,0.01,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,311,l1,avg,1.0,False,False,0.1,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,645,l2,loss,0.5,False,False,0.01,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,876,l2,mult,0.5,True,False,0.1,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,892,l2,mult,1.0,True,True,0.01,64,0.9583333134651184,0.979 +- 0.036,0.979,-0.020666686534881573
Iris,909,l2,mult,1.0,False,False,0.01,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,924,l2,mult,2.0,True,False,0.1,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,1164,max,loss,2.0,True,False,0.1,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,1379,max,mult,1.0,True,False,0.1,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,1469,var,None,0.5,True,True,0.1,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,1750,var,avg,1.0,False,False,0.01,64,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,1841,var,mult,0.5,False,True,0.1,32,0.9583333134651184,0.979 +- 0.021,0.979,-0.020666686534881573
Iris,65,l1,None,1.0,False,True,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,294,l1,avg,1.0,True,True,0.1,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,550,l2,None,1.0,False,False,0.01,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,642,l2,loss,0.5,False,True,0.1,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,683,l2,loss,2.0,True,False,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,749,l2,avg,0.5,True,True,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,768,l2,avg,0.5,False,False,0.1,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,900,l2,mult,1.0,True,False,0.1,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,1049,max,None,2.0,False,True,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,1146,max,loss,1.0,False,True,0.1,64,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,1241,max,avg,0.5,False,True,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,1685,var,avg,0.0,True,True,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,1847,var,mult,0.5,False,False,0.1,32,1.0,0.979 +- 0.021,0.979,0.02100000000000002
Iris,57,l1,None,1.0,True,False,0.01,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,148,l1,loss,0.5,True,True,0.01,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,167,l1,loss,0.5,False,False,0.1,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,273,l1,avg,0.5,True,False,0.01,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,420,l1,mult,1.0,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,432,l1,mult,1.0,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,441,l1,mult,2.0,True,False,0.01,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,564,l2,None,2.0,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,628,l2,loss,0.5,True,True,0.01,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,636,l2,loss,0.5,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,672,l2,loss,1.0,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,717,l2,loss,5.0,False,False,0.01,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,792,l2,avg,1.0,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,947,l2,mult,5.0,True,False,0.1,32,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,948,l2,mult,5.0,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1029,max,None,1.0,False,False,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1044,max,None,2.0,True,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1109,max,loss,0.5,True,True,0.1,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1121,max,loss,0.5,False,True,0.1,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1134,max,loss,1.0,True,True,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1242,max,avg,0.5,False,True,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1248,max,avg,0.5,False,False,0.1,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1251,max,avg,1.0,True,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1257,max,avg,1.0,True,False,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1359,max,mult,0.5,False,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1390,max,mult,1.0,False,False,0.01,64,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1395,max,mult,2.0,True,True,0.01,32,0.9583333134651184,0.969 +- 0.035,0.969,-0.010666686534881564
Iris,1416,max,mult,2.0,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1642,var,loss,2.0,True,False,0.01,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1726,var,avg,0.5,False,False,0.01,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
Iris,1848,var,mult,0.5,False,False,0.1,64,0.9583333134651184,0.969 +- 0.018,0.969,-0.010666686534881564
