dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Wifi,645,l2,loss,0.5,False,False,0.01,32,0.990625023841858,0.982 +- 0.006,0.982,0.008625023841858037
Wifi,616,l2,loss,0.0,False,True,0.01,64,0.993749976158142,0.982 +- 0.01,0.982,0.011749976158141995
Wifi,123,l1,loss,0.0,True,True,0.01,32,0.987500011920929,0.981 +- 0.008,0.981,0.006500011920928972
Wifi,974,max,None,0.0,False,True,0.001,64,0.990625023841858,0.981 +- 0.009,0.981,0.009625023841858038
Wifi,766,l2,avg,0.5,False,False,0.01,64,0.993749976158142,0.981 +- 0.007,0.981,0.012749976158141996
Wifi,179,l1,loss,1.0,True,False,0.1,32,0.987500011920929,0.98 +- 0.006,0.98,0.007500011920928973
Wifi,133,l1,loss,0.0,False,True,0.001,32,0.990625023841858,0.98 +- 0.009,0.98,0.010625023841858039
Wifi,363,l1,mult,0.0,True,True,0.01,32,0.990625023841858,0.98 +- 0.011,0.98,0.010625023841858039
Wifi,633,l2,loss,0.5,True,False,0.01,32,0.993749976158142,0.98 +- 0.008,0.98,0.013749976158141997
Wifi,1084,max,loss,0.0,True,True,0.01,64,0.993749976158142,0.98 +- 0.007,0.98,0.013749976158141997
Wifi,3,l1,None,0.0,True,True,0.01,32,0.984375,0.979 +- 0.007,0.979,0.005375000000000019
Wifi,122,l1,loss,0.0,True,True,0.001,64,0.984375,0.979 +- 0.01,0.979,0.005375000000000019
Wifi,135,l1,loss,0.0,False,True,0.01,32,0.984375,0.979 +- 0.006,0.979,0.005375000000000019
Wifi,538,l2,None,1.0,True,False,0.01,64,0.984375,0.979 +- 0.009,0.979,0.005375000000000019
Wifi,575,l2,None,2.0,False,False,0.1,32,0.984375,0.979 +- 0.005,0.979,0.005375000000000019
Wifi,873,l2,mult,0.5,True,False,0.01,32,0.984375,0.979 +- 0.008,0.979,0.005375000000000019
Wifi,14,l1,None,0.0,False,True,0.001,64,0.987500011920929,0.979 +- 0.011,0.979,0.008500011920928974
Wifi,124,l1,loss,0.0,True,True,0.01,64,0.987500011920929,0.979 +- 0.009,0.979,0.008500011920928974
Wifi,396,l1,mult,0.5,True,False,0.1,64,0.987500011920929,0.979 +- 0.009,0.979,0.008500011920928974
Wifi,513,l2,None,0.5,True,False,0.01,32,0.987500011920929,0.979 +- 0.01,0.979,0.008500011920928974
Wifi,588,l2,None,5.0,True,False,0.1,64,0.987500011920929,0.979 +- 0.007,0.979,0.008500011920928974
Wifi,722,l2,avg,0.0,True,True,0.001,64,0.987500011920929,0.979 +- 0.01,0.979,0.008500011920928974
Wifi,723,l2,avg,0.0,True,True,0.01,32,0.987500011920929,0.979 +- 0.007,0.979,0.008500011920928974
Wifi,1082,max,loss,0.0,True,True,0.001,64,0.987500011920929,0.979 +- 0.01,0.979,0.008500011920928974
Wifi,1138,max,loss,1.0,True,False,0.01,64,0.987500011920929,0.979 +- 0.01,0.979,0.008500011920928974
Wifi,1152,max,loss,1.0,False,False,0.1,64,0.987500011920929,0.979 +- 0.007,0.979,0.008500011920928974
Wifi,13,l1,None,0.0,False,True,0.001,32,0.990625023841858,0.979 +- 0.01,0.979,0.01162502384185804
Wifi,496,l2,None,0.0,False,True,0.01,64,0.990625023841858,0.979 +- 0.008,0.979,0.01162502384185804
Wifi,844,l2,mult,0.0,True,True,0.01,64,0.990625023841858,0.979 +- 0.01,0.979,0.01162502384185804
Wifi,874,l2,mult,0.5,True,False,0.01,64,0.990625023841858,0.979 +- 0.013,0.979,0.01162502384185804
Wifi,886,l2,mult,0.5,False,False,0.01,64,0.990625023841858,0.979 +- 0.008,0.979,0.01162502384185804
Wifi,1043,max,None,2.0,True,False,0.1,32,0.990625023841858,0.979 +- 0.01,0.979,0.01162502384185804
Wifi,1096,max,loss,0.0,False,True,0.01,64,0.990625023841858,0.979 +- 0.008,0.979,0.01162502384185804
Wifi,1214,max,avg,0.0,False,True,0.001,64,0.990625023841858,0.979 +- 0.009,0.979,0.01162502384185804
Wifi,15,l1,None,0.0,False,True,0.01,32,0.993749976158142,0.979 +- 0.008,0.979,0.014749976158141997
Wifi,244,l1,avg,0.0,True,True,0.01,64,0.993749976158142,0.979 +- 0.01,0.979,0.014749976158141997
Wifi,256,l1,avg,0.0,False,True,0.01,64,0.993749976158142,0.979 +- 0.011,0.979,0.014749976158141997
Wifi,484,l2,None,0.0,True,True,0.01,64,0.993749976158142,0.979 +- 0.013,0.979,0.014749976158141997
Wifi,613,l2,loss,0.0,False,True,0.001,32,0.993749976158142,0.979 +- 0.01,0.979,0.014749976158141997
Wifi,853,l2,mult,0.0,False,True,0.001,32,0.993749976158142,0.979 +- 0.009,0.979,0.014749976158141997
Wifi,855,l2,mult,0.0,False,True,0.01,32,0.993749976158142,0.979 +- 0.01,0.979,0.014749976158141997
Wifi,1008,max,None,0.5,False,False,0.1,64,0.993749976158142,0.979 +- 0.008,0.979,0.014749976158141997
Wifi,1032,max,None,1.0,False,False,0.1,64,0.993749976158142,0.979 +- 0.014,0.979,0.014749976158141997
Wifi,1083,max,loss,0.0,True,True,0.01,32,0.993749976158142,0.979 +- 0.013,0.979,0.014749976158141997
Wifi,1095,max,loss,0.0,False,True,0.01,32,0.993749976158142,0.979 +- 0.009,0.979,0.014749976158141997
Wifi,1203,max,avg,0.0,True,True,0.01,32,0.993749976158142,0.979 +- 0.01,0.979,0.014749976158141997
Wifi,606,l2,loss,0.0,True,True,0.1,64,0.981249988079071,0.978 +- 0.006,0.978,0.0032499880790710645
Wifi,657,l2,loss,1.0,True,False,0.01,32,0.981249988079071,0.978 +- 0.009,0.978,0.0032499880790710645
Wifi,16,l1,None,0.0,False,True,0.01,64,0.984375,0.978 +- 0.009,0.978,0.0063750000000000195
Wifi,242,l1,avg,0.0,True,True,0.001,64,0.984375,0.978 +- 0.008,0.978,0.0063750000000000195
Wifi,333,l1,avg,2.0,False,False,0.01,32,0.984375,0.978 +- 0.006,0.978,0.0063750000000000195
Wifi,780,l2,avg,1.0,True,False,0.1,64,0.984375,0.978 +- 0.007,0.978,0.0063750000000000195
Wifi,164,l1,loss,0.5,False,False,0.001,64,0.987500011920929,0.978 +- 0.011,0.978,0.009500011920928975
Wifi,168,l1,loss,0.5,False,False,0.1,64,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,253,l1,avg,0.0,False,True,0.001,32,0.987500011920929,0.978 +- 0.01,0.978,0.009500011920928975
Wifi,362,l1,mult,0.0,True,True,0.001,64,0.987500011920929,0.978 +- 0.01,0.978,0.009500011920928975
Wifi,375,l1,mult,0.0,False,True,0.01,32,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,408,l1,mult,0.5,False,False,0.1,64,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,614,l2,loss,0.0,False,True,0.001,64,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,735,l2,avg,0.0,False,True,0.01,32,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,843,l2,mult,0.0,True,True,0.01,32,0.987500011920929,0.978 +- 0.009,0.978,0.009500011920928975
Wifi,846,l2,mult,0.0,True,True,0.1,64,0.987500011920929,0.978 +- 0.011,0.978,0.009500011920928975
Wifi,900,l2,mult,1.0,True,False,0.1,64,0.987500011920929,0.978 +- 0.008,0.978,0.009500011920928975
Wifi,1044,max,None,2.0,True,False,0.1,64,0.987500011920929,0.978 +- 0.008,0.978,0.009500011920928975
Wifi,1094,max,loss,0.0,False,True,0.001,64,0.987500011920929,0.978 +- 0.008,0.978,0.009500011920928975
Wifi,1204,max,avg,0.0,True,True,0.01,64,0.987500011920929,0.978 +- 0.011,0.978,0.009500011920928975
Wifi,126,l1,loss,0.0,True,True,0.1,64,0.990625023841858,0.978 +- 0.009,0.978,0.01262502384185804
Wifi,540,l2,None,1.0,True,False,0.1,64,0.990625023841858,0.978 +- 0.011,0.978,0.01262502384185804
Wifi,734,l2,avg,0.0,False,True,0.001,64,0.990625023841858,0.978 +- 0.009,0.978,0.01262502384185804
Wifi,856,l2,mult,0.0,False,True,0.01,64,0.990625023841858,0.978 +- 0.01,0.978,0.01262502384185804
Wifi,975,max,None,0.0,False,True,0.01,32,0.990625023841858,0.978 +- 0.012,0.978,0.01262502384185804
Wifi,977,max,None,0.0,False,True,0.1,32,0.990625023841858,0.978 +- 0.009,0.978,0.01262502384185804
Wifi,1110,max,loss,0.5,True,True,0.1,64,0.990625023841858,0.978 +- 0.008,0.978,0.01262502384185804
Wifi,1215,max,avg,0.0,False,True,0.01,32,0.990625023841858,0.978 +- 0.007,0.978,0.01262502384185804
Wifi,754,l2,avg,0.5,True,False,0.01,64,0.993749976158142,0.978 +- 0.013,0.978,0.015749976158142
Wifi,876,l2,mult,0.5,True,False,0.1,64,0.993749976158142,0.978 +- 0.01,0.978,0.015749976158142
Wifi,1113,max,loss,0.5,True,False,0.01,32,0.993749976158142,0.978 +- 0.013,0.978,0.015749976158142
Wifi,1216,max,avg,0.0,False,True,0.01,64,0.993749976158142,0.978 +- 0.012,0.978,0.015749976158142
