dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Wine,1227,max,avg,0.5,True,True,0.01,32,0.6135203838348389,0.597 +- 0.013,0.597,0.016520383834838892
Wine,1093,max,loss,0.0,False,True,0.001,32,0.6198979616165161,0.597 +- 0.017,0.597,0.022897961616516138
Wine,1120,max,loss,0.5,False,True,0.01,64,0.6135203838348389,0.595 +- 0.017,0.595,0.018520383834838894
Wine,1142,max,loss,1.0,False,True,0.001,64,0.6160714030265808,0.595 +- 0.014,0.595,0.021071403026580837
Wine,979,max,None,0.0,False,False,0.001,32,0.6224489808082581,0.595 +- 0.026,0.595,0.027448980808258083
Wine,1081,max,loss,0.0,True,True,0.001,32,0.6173469424247742,0.594 +- 0.02,0.594,0.023346942424774197
Wine,1225,max,avg,0.5,True,True,0.001,32,0.6173469424247742,0.594 +- 0.015,0.594,0.023346942424774197
Wine,1144,max,loss,1.0,False,True,0.01,64,0.6198979616165161,0.594 +- 0.009,0.594,0.02589796161651614
Wine,975,max,None,0.0,False,True,0.01,32,0.6160714030265808,0.593 +- 0.019,0.593,0.02307140302658084
Wine,1264,max,avg,1.0,False,True,0.01,64,0.6160714030265808,0.593 +- 0.012,0.593,0.02307140302658084
Wine,1261,max,avg,1.0,False,True,0.001,32,0.5969387888908386,0.592 +- 0.009,0.592,0.004938788890838652
Wine,987,max,None,0.5,True,True,0.01,32,0.6147959232330322,0.592 +- 0.012,0.592,0.022795923233032256
Wine,1105,max,loss,0.5,True,True,0.001,32,0.6147959232330322,0.591 +- 0.014,0.591,0.023795923233032257
Wine,136,l1,loss,0.0,False,True,0.01,64,0.6173469424247742,0.591 +- 0.027,0.591,0.0263469424247742
Wine,998,max,None,0.5,False,True,0.001,64,0.6173469424247742,0.591 +- 0.012,0.591,0.0263469424247742
Wine,961,max,None,0.0,True,True,0.001,32,0.5994898080825806,0.59 +- 0.019,0.59,0.009489808082580597
Wine,865,l2,mult,0.5,True,True,0.001,32,0.6071428656578064,0.59 +- 0.019,0.59,0.017142865657806428
Wine,1021,max,None,1.0,False,True,0.001,32,0.6135203838348389,0.59 +- 0.015,0.59,0.0235203838348389
Wine,123,l1,loss,0.0,True,True,0.01,32,0.6160714030265808,0.59 +- 0.023,0.59,0.02607140302658084
Wine,1207,max,avg,0.0,True,False,0.001,32,0.6160714030265808,0.59 +- 0.025,0.59,0.02607140302658084
Wine,517,l2,None,0.5,False,True,0.001,32,0.6045918464660645,0.589 +- 0.011,0.589,0.015591846466064485
Wine,1215,max,avg,0.0,False,True,0.01,32,0.608418345451355,0.589 +- 0.021,0.589,0.019418345451355012
Wine,1282,max,avg,2.0,True,False,0.01,64,0.6224489808082581,0.589 +- 0.015,0.589,0.03344898080825809
Wine,1213,max,avg,0.0,False,True,0.001,32,0.6007652878761292,0.588 +- 0.019,0.588,0.012765287876129183
Wine,1095,max,loss,0.0,False,True,0.01,32,0.6071428656578064,0.588 +- 0.019,0.588,0.01914286565780643
Wine,1012,max,None,1.0,True,True,0.01,64,0.6096938848495483,0.588 +- 0.014,0.588,0.021693884849548373
Wine,1023,max,None,1.0,False,True,0.01,32,0.6109693646430969,0.588 +- 0.013,0.588,0.022969364643096957
Wine,1112,max,loss,0.5,True,False,0.001,64,0.6122449040412903,0.588 +- 0.012,0.588,0.024244904041290316
Wine,969,max,None,0.0,True,False,0.01,32,0.6135203838348389,0.588 +- 0.023,0.588,0.0255203838348389
Wine,1094,max,loss,0.0,False,True,0.001,64,0.6020408272743225,0.587 +- 0.018,0.587,0.015040827274322544
Wine,1202,max,avg,0.0,True,True,0.001,64,0.6033163070678711,0.587 +- 0.018,0.587,0.016316307067871128
Wine,1084,max,loss,0.0,True,True,0.01,64,0.6045918464660645,0.587 +- 0.019,0.587,0.017591846466064487
Wine,964,max,None,0.0,True,True,0.01,64,0.605867326259613,0.587 +- 0.018,0.587,0.01886732625961307
Wine,1131,max,loss,1.0,True,True,0.01,32,0.6109693646430969,0.587 +- 0.013,0.587,0.023969364643096958
Wine,1269,max,avg,1.0,False,False,0.01,32,0.6147959232330322,0.587 +- 0.012,0.587,0.02779592323303226
Wine,1231,max,avg,0.5,True,False,0.001,32,0.6211734414100647,0.587 +- 0.015,0.587,0.03417344141006473
Wine,842,l2,mult,0.0,True,True,0.001,64,0.5994898080825806,0.586 +- 0.02,0.586,0.013489808082580601
Wine,1214,max,avg,0.0,False,True,0.001,64,0.6007652878761292,0.586 +- 0.021,0.586,0.014765287876129185
Wine,121,l1,loss,0.0,True,True,0.001,32,0.6020408272743225,0.586 +- 0.018,0.586,0.016040827274322544
Wine,256,l1,avg,0.0,False,True,0.01,64,0.6071428656578064,0.586 +- 0.025,0.586,0.02114286565780643
Wine,255,l1,avg,0.0,False,True,0.01,32,0.5969387888908386,0.585 +- 0.014,0.585,0.011938788890838659
Wine,1141,max,loss,1.0,False,True,0.001,32,0.5982142686843872,0.585 +- 0.013,0.585,0.013214268684387243
Wine,1201,max,avg,0.0,True,True,0.001,32,0.6007652878761292,0.585 +- 0.022,0.585,0.015765287876129186
Wine,1275,max,avg,2.0,True,True,0.01,32,0.6007652878761292,0.585 +- 0.012,0.585,0.015765287876129186
Wine,747,l2,avg,0.5,True,True,0.01,32,0.6020408272743225,0.585 +- 0.008,0.585,0.017040827274322545
Wine,1048,max,None,2.0,False,True,0.01,64,0.6020408272743225,0.585 +- 0.012,0.585,0.017040827274322545
Wine,962,max,None,0.0,True,True,0.001,64,0.6033163070678711,0.585 +- 0.022,0.585,0.01831630706787113
Wine,1216,max,avg,0.0,False,True,0.01,64,0.6033163070678711,0.585 +- 0.022,0.585,0.01831630706787113
Wine,4,l1,None,0.0,True,True,0.01,64,0.6071428656578064,0.585 +- 0.026,0.585,0.022142865657806432
Wine,645,l2,loss,0.5,False,False,0.01,32,0.608418345451355,0.585 +- 0.024,0.585,0.023418345451355016
Wine,1124,max,loss,0.5,False,False,0.001,64,0.608418345451355,0.585 +- 0.02,0.585,0.023418345451355016
Wine,1251,max,avg,1.0,True,True,0.01,32,0.608418345451355,0.585 +- 0.01,0.585,0.023418345451355016
Wine,963,max,None,0.0,True,True,0.01,32,0.6109693646430969,0.585 +- 0.02,0.585,0.02596936464309696
Wine,1126,max,loss,0.5,False,False,0.01,64,0.6122449040412903,0.585 +- 0.01,0.585,0.02724490404129032
Wine,988,max,None,0.5,True,True,0.01,64,0.6160714030265808,0.585 +- 0.017,0.585,0.031071403026580846
Wine,877,l2,mult,0.5,False,True,0.001,32,0.5892857313156128,0.584 +- 0.015,0.584,0.005285731315612829
Wine,778,l2,avg,1.0,True,False,0.01,64,0.5956632494926453,0.584 +- 0.018,0.584,0.0116632494926453
Wine,783,l2,avg,1.0,False,True,0.01,32,0.5956632494926453,0.584 +- 0.012,0.584,0.0116632494926453
Wine,1262,max,avg,1.0,False,True,0.001,64,0.5956632494926453,0.584 +- 0.013,0.584,0.0116632494926453
Wine,1173,max,loss,2.0,False,False,0.01,32,0.5982142686843872,0.584 +- 0.008,0.584,0.014214268684387243
Wine,537,l2,None,1.0,True,False,0.01,32,0.5994898080825806,0.584 +- 0.011,0.584,0.015489808082580603
Wine,652,l2,loss,1.0,True,True,0.01,64,0.6045918464660645,0.584 +- 0.013,0.584,0.02059184646606449
Wine,1244,max,avg,0.5,False,False,0.001,64,0.605867326259613,0.584 +- 0.018,0.584,0.021867326259613074
Wine,1233,max,avg,0.5,True,False,0.01,32,0.6147959232330322,0.584 +- 0.017,0.584,0.030795923233032263
Wine,760,l2,avg,0.5,False,True,0.01,64,0.5943877696990967,0.583 +- 0.014,0.583,0.011387769699096717
Wine,135,l1,loss,0.0,False,True,0.01,32,0.5982142686843872,0.583 +- 0.02,0.583,0.015214268684387244
Wine,873,l2,mult,0.5,True,False,0.01,32,0.5994898080825806,0.583 +- 0.017,0.583,0.016489808082580604
Wine,980,max,None,0.0,False,False,0.001,64,0.6045918464660645,0.583 +- 0.026,0.583,0.02159184646606449
Wine,1000,max,None,0.5,False,True,0.01,64,0.6045918464660645,0.583 +- 0.012,0.583,0.02159184646606449
Wine,1036,max,None,2.0,True,True,0.01,64,0.6045918464660645,0.583 +- 0.013,0.583,0.02159184646606449
Wine,1119,max,loss,0.5,False,True,0.01,32,0.6045918464660645,0.583 +- 0.017,0.583,0.02159184646606449
Wine,1208,max,avg,0.0,True,False,0.001,64,0.605867326259613,0.583 +- 0.02,0.583,0.022867326259613074
Wine,974,max,None,0.0,False,True,0.001,64,0.6071428656578064,0.583 +- 0.017,0.583,0.024142865657806434
Wine,1030,max,None,1.0,False,False,0.01,64,0.6071428656578064,0.583 +- 0.014,0.583,0.024142865657806434
Wine,1087,max,loss,0.0,True,False,0.001,32,0.608418345451355,0.583 +- 0.022,0.583,0.025418345451355018
Wine,1219,max,avg,0.0,False,False,0.001,32,0.6122449040412903,0.583 +- 0.03,0.583,0.02924490404129032
Wine,1222,max,avg,0.0,False,False,0.01,64,0.6135203838348389,0.583 +- 0.019,0.583,0.030520383834838904
Wine,1111,max,loss,0.5,True,False,0.001,32,0.6224489808082581,0.583 +- 0.021,0.583,0.039448980808258094
Wine,1082,max,loss,0.0,True,True,0.001,64,0.5931122303009033,0.582 +- 0.015,0.582,0.011112230300903359
Wine,1204,max,avg,0.0,True,True,0.01,64,0.5931122303009033,0.582 +- 0.013,0.582,0.011112230300903359
Wine,633,l2,loss,0.5,True,False,0.01,32,0.5943877696990967,0.582 +- 0.02,0.582,0.012387769699096718
Wine,1106,max,loss,0.5,True,True,0.001,64,0.5943877696990967,0.582 +- 0.016,0.582,0.012387769699096718
Wine,16,l1,None,0.0,False,True,0.01,64,0.5969387888908386,0.582 +- 0.02,0.582,0.014938788890838661
Wine,973,max,None,0.0,False,True,0.001,32,0.5969387888908386,0.582 +- 0.018,0.582,0.014938788890838661
Wine,1238,max,avg,0.5,False,True,0.001,64,0.5982142686843872,0.582 +- 0.012,0.582,0.016214268684387245
Wine,1108,max,loss,0.5,True,True,0.01,64,0.5994898080825806,0.582 +- 0.012,0.582,0.017489808082580605
Wine,1010,max,None,1.0,True,True,0.001,64,0.6007652878761292,0.582 +- 0.014,0.582,0.01876528787612919
Wine,1263,max,avg,1.0,False,True,0.01,32,0.6020408272743225,0.582 +- 0.013,0.582,0.020040827274322548
Wine,994,max,None,0.5,True,False,0.01,64,0.605867326259613,0.582 +- 0.019,0.582,0.023867326259613075
Wine,1003,max,None,0.5,False,False,0.001,32,0.605867326259613,0.582 +- 0.015,0.582,0.023867326259613075
Wine,1240,max,avg,0.5,False,True,0.01,64,0.6071428656578064,0.582 +- 0.015,0.582,0.025142865657806435
Wine,1250,max,avg,1.0,True,True,0.001,64,0.5854591727256775,0.581 +- 0.008,0.581,0.004459172725677529
Wine,514,l2,None,0.5,True,False,0.01,64,0.5931122303009033,0.581 +- 0.017,0.581,0.01211223030090336
Wine,892,l2,mult,1.0,True,True,0.01,64,0.5931122303009033,0.581 +- 0.011,0.581,0.01211223030090336
Wine,511,l2,None,0.5,True,False,0.001,32,0.5943877696990967,0.581 +- 0.018,0.581,0.013387769699096719
Wine,758,l2,avg,0.5,False,True,0.001,64,0.5943877696990967,0.581 +- 0.017,0.581,0.013387769699096719
Wine,1165,max,loss,2.0,False,True,0.001,32,0.5956632494926453,0.581 +- 0.013,0.581,0.014663249492645303
Wine,1203,max,avg,0.0,True,True,0.01,32,0.5956632494926453,0.581 +- 0.012,0.581,0.014663249492645303
Wine,1226,max,avg,0.5,True,True,0.001,64,0.5982142686843872,0.581 +- 0.016,0.581,0.017214268684387246
Wine,1015,max,None,1.0,True,False,0.001,32,0.5994898080825806,0.581 +- 0.015,0.581,0.018489808082580605
Wine,886,l2,mult,0.5,False,False,0.01,64,0.6020408272743225,0.581 +- 0.018,0.581,0.02104082727432255
Wine,1024,max,None,1.0,False,True,0.01,64,0.6020408272743225,0.581 +- 0.014,0.581,0.02104082727432255
Wine,1258,max,avg,1.0,True,False,0.01,64,0.6020408272743225,0.581 +- 0.014,0.581,0.02104082727432255
Wine,866,l2,mult,0.5,True,True,0.001,64,0.6033163070678711,0.581 +- 0.019,0.581,0.022316307067871133
Wine,1096,max,loss,0.0,False,True,0.01,64,0.6045918464660645,0.581 +- 0.015,0.581,0.023591846466064492
Wine,981,max,None,0.0,False,False,0.01,32,0.605867326259613,0.581 +- 0.017,0.581,0.024867326259613076
Wine,1143,max,loss,1.0,False,True,0.01,32,0.6071428656578064,0.581 +- 0.012,0.581,0.026142865657806436
Wine,1209,max,avg,0.0,True,False,0.01,32,0.6135203838348389,0.581 +- 0.022,0.581,0.032520383834838906
Wine,526,l2,None,0.5,False,False,0.01,64,0.5905612111091614,0.58 +- 0.017,0.58,0.010561211109161417
Wine,999,max,None,0.5,False,True,0.01,32,0.5931122303009033,0.58 +- 0.012,0.58,0.01311223030090336
Wine,976,max,None,0.0,False,True,0.01,64,0.5943877696990967,0.58 +- 0.017,0.58,0.01438776969909672
Wine,1171,max,loss,2.0,False,False,0.001,32,0.5969387888908386,0.58 +- 0.012,0.58,0.016938788890838663
Wine,746,l2,avg,0.5,True,True,0.001,64,0.5982142686843872,0.58 +- 0.017,0.58,0.018214268684387247
Wine,878,l2,mult,0.5,False,True,0.001,64,0.5994898080825806,0.58 +- 0.018,0.58,0.019489808082580606
Wine,968,max,None,0.0,True,False,0.001,64,0.5994898080825806,0.58 +- 0.022,0.58,0.019489808082580606
Wine,1099,max,loss,0.0,False,False,0.001,32,0.6007652878761292,0.58 +- 0.016,0.58,0.02076528787612919
Wine,1220,max,avg,0.0,False,False,0.001,64,0.6020408272743225,0.58 +- 0.02,0.58,0.02204082727432255
Wine,1090,max,loss,0.0,True,False,0.01,64,0.605867326259613,0.58 +- 0.02,0.58,0.025867326259613077
Wine,1029,max,None,1.0,False,False,0.01,32,0.6071428656578064,0.58 +- 0.014,0.58,0.027142865657806436
Wine,1009,max,None,1.0,True,True,0.001,32,0.5880101919174194,0.579 +- 0.013,0.579,0.009010191917419474
Wine,532,l2,None,1.0,True,True,0.01,64,0.5892857313156128,0.579 +- 0.011,0.579,0.010285731315612834
Wine,244,l1,avg,0.0,True,True,0.01,64,0.5918367505073547,0.579 +- 0.022,0.579,0.012836750507354777
Wine,638,l2,loss,0.5,False,True,0.001,64,0.5918367505073547,0.579 +- 0.016,0.579,0.012836750507354777
Wine,868,l2,mult,0.5,True,True,0.01,64,0.5918367505073547,0.579 +- 0.013,0.579,0.012836750507354777
Wine,523,l2,None,0.5,False,False,0.001,32,0.5931122303009033,0.579 +- 0.017,0.579,0.014112230300903361
Wine,1228,max,avg,0.5,True,True,0.01,64,0.5931122303009033,0.579 +- 0.015,0.579,0.014112230300903361
Wine,1011,max,None,1.0,True,True,0.01,32,0.5994898080825806,0.579 +- 0.016,0.579,0.020489808082580607
Wine,885,l2,mult,0.5,False,False,0.01,32,0.5803571343421936,0.578 +- 0.013,0.578,0.0023571343421936453
Wine,753,l2,avg,0.5,True,False,0.01,32,0.5867347121238708,0.578 +- 0.016,0.578,0.008734712123870891
Wine,841,l2,mult,0.0,True,True,0.001,32,0.5867347121238708,0.578 +- 0.013,0.578,0.008734712123870891
Wine,757,l2,avg,0.5,False,True,0.001,32,0.5880101919174194,0.578 +- 0.015,0.578,0.010010191917419475
Wine,777,l2,avg,1.0,True,False,0.01,32,0.5880101919174194,0.578 +- 0.014,0.578,0.010010191917419475
Wine,1022,max,None,1.0,False,True,0.001,64,0.5905612111091614,0.578 +- 0.014,0.578,0.012561211109161419
Wine,637,l2,loss,0.5,False,True,0.001,32,0.5918367505073547,0.578 +- 0.014,0.578,0.013836750507354778
Wine,1249,max,avg,1.0,True,True,0.001,32,0.5918367505073547,0.578 +- 0.011,0.578,0.013836750507354778
Wine,524,l2,None,0.5,False,False,0.001,64,0.5943877696990967,0.578 +- 0.018,0.578,0.01638776969909672
Wine,734,l2,avg,0.0,False,True,0.001,64,0.5956632494926453,0.578 +- 0.019,0.578,0.017663249492645305
Wine,614,l2,loss,0.0,False,True,0.001,64,0.5969387888908386,0.578 +- 0.016,0.578,0.018938788890838665
Wine,992,max,None,0.5,True,False,0.001,64,0.5969387888908386,0.578 +- 0.013,0.578,0.018938788890838665
Wine,501,l2,None,0.0,False,False,0.01,32,0.5982142686843872,0.578 +- 0.024,0.578,0.02021426868438725
Wine,1257,max,avg,1.0,True,False,0.01,32,0.6007652878761292,0.578 +- 0.01,0.578,0.022765287876129192
Wine,1102,max,loss,0.0,False,False,0.01,64,0.6071428656578064,0.578 +- 0.027,0.578,0.029142865657806438
Wine,1114,max,loss,0.5,True,False,0.01,64,0.6071428656578064,0.578 +- 0.018,0.578,0.029142865657806438
Wine,506,l2,None,0.5,True,True,0.001,64,0.581632673740387,0.577 +- 0.011,0.577,0.0046326737403870055
Wine,626,l2,loss,0.5,True,True,0.001,64,0.5854591727256775,0.577 +- 0.019,0.577,0.008459172725677533
Wine,632,l2,loss,0.5,True,False,0.001,64,0.5867347121238708,0.577 +- 0.015,0.577,0.009734712123870892
Wine,1156,max,loss,2.0,True,True,0.01,64,0.5867347121238708,0.577 +- 0.011,0.577,0.009734712123870892
Wine,519,l2,None,0.5,False,True,0.01,32,0.5905612111091614,0.577 +- 0.012,0.577,0.01356121110916142
Wine,884,l2,mult,0.5,False,False,0.001,64,0.5918367505073547,0.577 +- 0.019,0.577,0.014836750507354779
Wine,1039,max,None,2.0,True,False,0.001,32,0.5918367505073547,0.577 +- 0.012,0.577,0.014836750507354779
Wine,1101,max,loss,0.0,False,False,0.01,32,0.5918367505073547,0.577 +- 0.02,0.577,0.014836750507354779
Wine,1273,max,avg,2.0,True,True,0.001,32,0.5918367505073547,0.577 +- 0.01,0.577,0.014836750507354779
Wine,1035,max,None,2.0,True,True,0.01,32,0.5931122303009033,0.577 +- 0.008,0.577,0.016112230300903363
Wine,764,l2,avg,0.5,False,False,0.001,64,0.5956632494926453,0.577 +- 0.017,0.577,0.018663249492645306
Wine,670,l2,loss,1.0,False,False,0.01,64,0.5969387888908386,0.577 +- 0.02,0.577,0.019938788890838666
Wine,1221,max,avg,0.0,False,False,0.01,32,0.5969387888908386,0.577 +- 0.026,0.577,0.019938788890838666
Wine,640,l2,loss,0.5,False,True,0.01,64,0.6020408272743225,0.577 +- 0.016,0.577,0.025040827274322552
Wine,850,l2,mult,0.0,True,False,0.01,64,0.6020408272743225,0.577 +- 0.025,0.577,0.025040827274322552
Wine,650,l2,loss,1.0,True,True,0.001,64,0.5752550959587097,0.576 +- 0.013,0.576,-0.0007449040412902397
Wine,625,l2,loss,0.5,True,True,0.001,32,0.5803571343421936,0.576 +- 0.015,0.576,0.004357134342193647
Wine,535,l2,None,1.0,True,False,0.001,32,0.581632673740387,0.576 +- 0.018,0.576,0.005632673740387006
Wine,661,l2,loss,1.0,False,True,0.001,32,0.5854591727256775,0.576 +- 0.013,0.576,0.009459172725677534
Wine,879,l2,mult,0.5,False,True,0.01,32,0.5880101919174194,0.576 +- 0.012,0.576,0.012010191917419477
Wine,603,l2,loss,0.0,True,True,0.01,32,0.5905612111091614,0.576 +- 0.017,0.576,0.01456121110916142
Wine,649,l2,loss,1.0,True,True,0.001,32,0.5905612111091614,0.576 +- 0.015,0.576,0.01456121110916142
Wine,1123,max,loss,0.5,False,False,0.001,32,0.5982142686843872,0.576 +- 0.018,0.576,0.02221426868438725
Wine,997,max,None,0.5,False,True,0.001,32,0.6020408272743225,0.576 +- 0.016,0.576,0.026040827274322553
Wine,602,l2,loss,0.0,True,True,0.001,64,0.5829081535339355,0.575 +- 0.015,0.575,0.007908153533935591
Wine,1268,max,avg,1.0,False,False,0.001,64,0.5829081535339355,0.575 +- 0.015,0.575,0.007908153533935591
Wine,518,l2,None,0.5,False,True,0.001,64,0.5867347121238708,0.575 +- 0.014,0.575,0.011734712123870894
Wine,542,l2,None,1.0,False,True,0.001,64,0.5867347121238708,0.575 +- 0.015,0.575,0.011734712123870894
Wine,604,l2,loss,0.0,True,True,0.01,64,0.5867347121238708,0.575 +- 0.016,0.575,0.011734712123870894
Wine,897,l2,mult,1.0,True,False,0.01,32,0.5880101919174194,0.575 +- 0.014,0.575,0.013010191917419478
Wine,482,l2,None,0.0,True,True,0.001,64,0.5892857313156128,0.575 +- 0.018,0.575,0.014285731315612837
Wine,910,l2,mult,1.0,False,False,0.01,64,0.5892857313156128,0.575 +- 0.014,0.575,0.014285731315612837
Wine,735,l2,avg,0.0,False,True,0.01,32,0.5905612111091614,0.575 +- 0.013,0.575,0.015561211109161421
Wine,644,l2,loss,0.5,False,False,0.001,64,0.5918367505073547,0.575 +- 0.021,0.575,0.01683675050735478
Wine,549,l2,None,1.0,False,False,0.01,32,0.5931122303009033,0.575 +- 0.015,0.575,0.018112230300903365
Wine,1294,max,avg,2.0,False,False,0.01,64,0.5969387888908386,0.575 +- 0.014,0.575,0.021938788890838667
Wine,646,l2,loss,0.5,False,False,0.01,64,0.6020408272743225,0.575 +- 0.023,0.575,0.027040827274322554
Wine,1149,max,loss,1.0,False,False,0.01,32,0.6020408272743225,0.575 +- 0.016,0.575,0.027040827274322554
Wine,843,l2,mult,0.0,True,True,0.01,32,0.5803571343421936,0.574 +- 0.014,0.574,0.006357134342193649
Wine,651,l2,loss,1.0,True,True,0.01,32,0.5829081535339355,0.574 +- 0.01,0.574,0.008908153533935592
Wine,530,l2,None,1.0,True,True,0.001,64,0.5841836929321289,0.574 +- 0.012,0.574,0.010183692932128952
Wine,601,l2,loss,0.0,True,True,0.001,32,0.5841836929321289,0.574 +- 0.02,0.574,0.010183692932128952
Wine,789,l2,avg,1.0,False,False,0.01,32,0.5841836929321289,0.574 +- 0.012,0.574,0.010183692932128952
Wine,771,l2,avg,1.0,True,True,0.01,32,0.5854591727256775,0.574 +- 0.018,0.574,0.011459172725677536
Wine,124,l1,loss,0.0,True,True,0.01,64,0.5880101919174194,0.574 +- 0.022,0.574,0.014010191917419479
Wine,547,l2,None,1.0,False,False,0.001,32,0.5880101919174194,0.574 +- 0.015,0.574,0.014010191917419479
Wine,775,l2,avg,1.0,True,False,0.001,32,0.5880101919174194,0.574 +- 0.019,0.574,0.014010191917419479
Wine,728,l2,avg,0.0,True,False,0.001,64,0.5892857313156128,0.574 +- 0.021,0.574,0.015285731315612838
Wine,751,l2,avg,0.5,True,False,0.001,32,0.5892857313156128,0.574 +- 0.019,0.574,0.015285731315612838
Wine,759,l2,avg,0.5,False,True,0.01,32,0.5892857313156128,0.574 +- 0.01,0.574,0.015285731315612838
Wine,985,max,None,0.5,True,True,0.001,32,0.5892857313156128,0.574 +- 0.016,0.574,0.015285731315612838
Wine,550,l2,None,1.0,False,False,0.01,64,0.5905612111091614,0.574 +- 0.017,0.574,0.016561211109161422
Wine,872,l2,mult,0.5,True,False,0.001,64,0.5905612111091614,0.574 +- 0.012,0.574,0.016561211109161422
Wine,729,l2,avg,0.0,True,False,0.01,32,0.5918367505073547,0.574 +- 0.022,0.574,0.01783675050735478
Wine,730,l2,avg,0.0,True,False,0.01,64,0.5918367505073547,0.574 +- 0.025,0.574,0.01783675050735478
Wine,765,l2,avg,0.5,False,False,0.01,32,0.5918367505073547,0.574 +- 0.018,0.574,0.01783675050735478
Wine,784,l2,avg,1.0,False,True,0.01,64,0.5918367505073547,0.574 +- 0.015,0.574,0.01783675050735478
Wine,1089,max,loss,0.0,True,False,0.01,32,0.5918367505073547,0.574 +- 0.016,0.574,0.01783675050735478
Wine,657,l2,loss,1.0,True,False,0.01,32,0.5931122303009033,0.574 +- 0.013,0.574,0.019112230300903366
Wine,733,l2,avg,0.0,False,True,0.001,32,0.5956632494926453,0.574 +- 0.018,0.574,0.02166324949264531
Wine,982,max,None,0.0,False,False,0.01,64,0.5956632494926453,0.574 +- 0.019,0.574,0.02166324949264531
Wine,531,l2,None,1.0,True,True,0.01,32,0.5752550959587097,0.573 +- 0.012,0.573,0.002255095958709763
Wine,643,l2,loss,0.5,False,False,0.001,32,0.5752550959587097,0.573 +- 0.014,0.573,0.002255095958709763
Wine,808,l2,avg,2.0,False,True,0.01,64,0.5778061151504517,0.573 +- 0.011,0.573,0.004806115150451706
Wine,512,l2,None,0.5,True,False,0.001,64,0.5803571343421936,0.573 +- 0.015,0.573,0.00735713434219365
Wine,1033,max,None,2.0,True,True,0.001,32,0.5841836929321289,0.573 +- 0.013,0.573,0.011183692932128952
Wine,405,l1,mult,0.5,False,False,0.01,32,0.5867347121238708,0.573 +- 0.022,0.573,0.013734712123870896
Wine,627,l2,loss,0.5,True,True,0.01,32,0.5867347121238708,0.573 +- 0.013,0.573,0.013734712123870896
Wine,724,l2,avg,0.0,True,True,0.01,64,0.5867347121238708,0.573 +- 0.017,0.573,0.013734712123870896
Wine,1232,max,avg,0.5,True,False,0.001,64,0.5867347121238708,0.573 +- 0.015,0.573,0.013734712123870896
Wine,909,l2,mult,1.0,False,False,0.01,32,0.5880101919174194,0.573 +- 0.015,0.573,0.01501019191741948
Wine,45,l1,None,0.5,False,False,0.01,32,0.5892857313156128,0.573 +- 0.022,0.573,0.01628573131561284
