dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Banknote,1086,max,loss,0.0,True,True,0.1,64,0.9634703397750854,0.927 +- 0.035,0.927,0.0364703397750854
Banknote,723,l2,avg,0.0,True,True,0.01,32,0.9680365324020386,0.924 +- 0.034,0.924,0.04403653240203853
Banknote,1803,var,mult,0.0,True,True,0.01,32,0.9680365324020386,0.924 +- 0.037,0.924,0.04403653240203853
Banknote,495,l2,None,0.0,False,True,0.01,32,0.9726027250289916,0.922 +- 0.04,0.922,0.050602725028991546
Banknote,1457,var,None,0.0,False,True,0.1,32,0.9680365324020386,0.921 +- 0.043,0.921,0.04703653240203853
Banknote,736,l2,avg,0.0,False,True,0.01,64,0.9589040875434875,0.919 +- 0.036,0.919,0.03990408754348751
Banknote,134,l1,loss,0.0,False,True,0.001,64,0.9726027250289916,0.919 +- 0.042,0.919,0.05360272502899155
Banknote,1085,max,loss,0.0,True,True,0.1,32,0.9680365324020386,0.918 +- 0.043,0.918,0.050036532402038536
Banknote,1097,max,loss,0.0,False,True,0.1,32,0.9726027250289916,0.918 +- 0.052,0.918,0.05460272502899155
Banknote,1446,var,None,0.0,True,True,0.1,64,0.9680365324020386,0.917 +- 0.044,0.917,0.05103653240203854
Banknote,1578,var,loss,0.0,False,True,0.1,64,0.9680365324020386,0.917 +- 0.048,0.917,0.05103653240203854
Banknote,18,l1,None,0.0,False,True,0.1,64,0.9726027250289916,0.917 +- 0.046,0.917,0.05560272502899155
Banknote,1698,var,avg,0.0,False,True,0.1,64,0.9634703397750854,0.916 +- 0.048,0.916,0.04747033977508541
Banknote,138,l1,loss,0.0,False,True,0.1,64,0.9726027250289916,0.916 +- 0.041,0.916,0.05660272502899155
Banknote,1686,var,avg,0.0,True,True,0.1,64,0.9726027250289916,0.916 +- 0.065,0.916,0.05660272502899155
Banknote,1217,max,avg,0.0,False,True,0.1,32,0.9771689772605896,0.916 +- 0.043,0.916,0.06116897726058956
Banknote,1697,var,avg,0.0,False,True,0.1,32,0.9771689772605896,0.916 +- 0.048,0.916,0.06116897726058956
Banknote,756,l2,avg,0.5,True,False,0.1,64,0.9863013625144958,0.916 +- 0.047,0.916,0.07030136251449581
Banknote,393,l1,mult,0.5,True,False,0.01,32,0.9634703397750854,0.914 +- 0.04,0.914,0.049470339775085415
Banknote,246,l1,avg,0.0,True,True,0.1,64,0.9680365324020386,0.914 +- 0.045,0.914,0.05403653240203854
Banknote,497,l2,None,0.0,False,True,0.1,32,0.9680365324020386,0.914 +- 0.053,0.914,0.05403653240203854
Banknote,1083,max,loss,0.0,True,True,0.01,32,0.9680365324020386,0.914 +- 0.043,0.914,0.05403653240203854
Banknote,135,l1,loss,0.0,False,True,0.01,32,0.9726027250289916,0.914 +- 0.046,0.914,0.058602725028991554
Banknote,244,l1,avg,0.0,True,True,0.01,64,0.9726027250289916,0.914 +- 0.047,0.914,0.058602725028991554
Banknote,1566,var,loss,0.0,True,True,0.1,64,0.9726027250289916,0.914 +- 0.051,0.914,0.058602725028991554
Banknote,1445,var,None,0.0,True,True,0.1,32,0.9771689772605896,0.914 +- 0.056,0.914,0.06316897726058956
Banknote,1239,max,avg,0.5,False,True,0.01,32,0.9589040875434875,0.913 +- 0.031,0.913,0.045904087543487515
Banknote,485,l2,None,0.0,True,True,0.1,32,0.9634703397750854,0.913 +- 0.04,0.913,0.050470339775085415
Banknote,804,l2,avg,2.0,True,False,0.1,64,0.9634703397750854,0.913 +- 0.039,0.913,0.050470339775085415
Banknote,124,l1,loss,0.0,True,True,0.01,64,0.9680365324020386,0.913 +- 0.051,0.913,0.05503653240203854
Banknote,32,l1,None,0.5,True,False,0.001,64,0.9771689772605896,0.913 +- 0.041,0.913,0.06416897726058957
Banknote,669,l2,loss,1.0,False,False,0.01,32,0.9771689772605896,0.913 +- 0.05,0.913,0.06416897726058957
Banknote,767,l2,avg,0.5,False,False,0.1,32,0.9771689772605896,0.913 +- 0.054,0.913,0.06416897726058957
Banknote,1475,var,None,0.5,True,False,0.1,32,0.9771689772605896,0.913 +- 0.057,0.913,0.06416897726058957
Banknote,125,l1,loss,0.0,True,True,0.1,32,0.9634703397750854,0.912 +- 0.03,0.912,0.051470339775085416
Banknote,162,l1,loss,0.5,False,True,0.1,64,0.9634703397750854,0.912 +- 0.052,0.912,0.051470339775085416
Banknote,401,l1,mult,0.5,False,True,0.1,32,0.9680365324020386,0.912 +- 0.054,0.912,0.05603653240203854
Banknote,520,l2,None,0.5,False,True,0.01,64,0.9680365324020386,0.912 +- 0.049,0.912,0.05603653240203854
Banknote,978,max,None,0.0,False,True,0.1,64,0.9680365324020386,0.912 +- 0.04,0.912,0.05603653240203854
Banknote,395,l1,mult,0.5,True,False,0.1,32,0.9726027250289916,0.912 +- 0.037,0.912,0.060602725028991555
Banknote,551,l2,None,1.0,False,False,0.1,32,0.9726027250289916,0.912 +- 0.05,0.912,0.060602725028991555
Banknote,155,l1,loss,0.5,True,False,0.1,32,0.9771689772605896,0.912 +- 0.048,0.912,0.06516897726058957
Banknote,1205,max,avg,0.0,True,True,0.1,32,0.9771689772605896,0.912 +- 0.048,0.912,0.06516897726058957
Banknote,618,l2,loss,0.0,False,True,0.1,64,0.9817351698875428,0.912 +- 0.056,0.912,0.0697351698875428
Banknote,1577,var,loss,0.0,False,True,0.1,32,0.9543378949165344,0.911 +- 0.04,0.911,0.04333789491653439
Banknote,16,l1,None,0.0,False,True,0.01,64,0.9589040875434875,0.911 +- 0.036,0.911,0.04790408754348752
Banknote,269,l1,avg,0.5,True,True,0.1,32,0.9634703397750854,0.911 +- 0.05,0.911,0.05247033977508542
Banknote,1721,var,avg,0.5,False,True,0.1,32,0.9634703397750854,0.911 +- 0.045,0.911,0.05247033977508542
Banknote,505,l2,None,0.5,True,True,0.001,32,0.9680365324020386,0.911 +- 0.049,0.911,0.05703653240203854
Banknote,1487,var,None,0.5,False,False,0.1,32,0.9680365324020386,0.911 +- 0.046,0.911,0.05703653240203854
Banknote,258,l1,avg,0.0,False,True,0.1,64,0.9726027250289916,0.911 +- 0.045,0.911,0.061602725028991556
