dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Ecoli,819,max,mult,0.5,True,True,0.01,32,0.8872092962265015,0.849 +- 0.012,0.849056601524353,0.825 +- 0.042,0.849,0.825,0.849056601524353,0.825,0.024056601524353072
Ecoli,493,l2,avg,1.0,False,True,0.001,32,0.8866279125213623,0.861 +- 0.019,0.8679245114326477,0.825 +- 0.053,0.861,0.825,0.8679245114326477,0.825,0.04292451143264775
Ecoli,903,var,None,0.5,False,True,0.01,32,0.8866279125213623,0.857 +- 0.021,0.849056601524353,0.822 +- 0.04,0.857,0.822,0.849056601524353,0.822,0.027056601524353074
Ecoli,387,l2,loss,0.5,True,True,0.01,32,0.8860465288162231,0.857 +- 0.018,0.8301886916160583,0.814 +- 0.046,0.857,0.814,0.8301886916160583,0.814,0.016188691616058404
Ecoli,918,var,None,1.0,True,True,0.1,64,0.8412790894508362,0.822 +- 0.015,0.8301886916160583,0.798 +- 0.039,0.822,0.798,0.8301886916160583,0.798,0.03218869161605831
Ecoli,521,l2,mult,0.0,False,True,0.1,32,0.8389534950256348,0.81 +- 0.02,0.8301886916160583,0.792 +- 0.04,0.81,0.792,0.8301886916160583,0.792,0.03818869161605831
Ecoli,999,var,loss,1.0,False,True,0.01,32,0.8744186162948608,0.848 +- 0.018,0.8679245114326477,0.792 +- 0.04,0.848,0.792,0.8679245114326477,0.792,0.07592451143264767
Ecoli,901,var,None,0.5,False,True,0.001,32,0.8523255586624146,0.828 +- 0.015,0.8113207817077637,0.79 +- 0.04,0.828,0.79,0.8113207817077637,0.79,0.021320781707763636
Ecoli,222,l1,mult,0.0,True,True,0.1,64,0.8447674512863159,0.816 +- 0.02,0.8301886916160583,0.79 +- 0.047,0.816,0.79,0.8301886916160583,0.79,0.040188691616058314
Ecoli,342,l2,None,1.0,True,True,0.1,64,0.8505814075469971,0.827 +- 0.022,0.8301886916160583,0.79 +- 0.038,0.827,0.79,0.8301886916160583,0.79,0.040188691616058314
Ecoli,414,l2,loss,1.0,True,True,0.1,64,0.8401162624359131,0.819 +- 0.02,0.8301886916160583,0.79 +- 0.037,0.819,0.79,0.8301886916160583,0.79,0.040188691616058314
Ecoli,882,var,None,0.0,False,True,0.1,64,0.8476744294166565,0.819 +- 0.019,0.8113207817077637,0.787 +- 0.044,0.819,0.787,0.8113207817077637,0.787,0.02432078170776364
Ecoli,448,l2,avg,0.0,False,True,0.01,64,0.8773255944252014,0.845 +- 0.022,0.7924528121948242,0.782 +- 0.041,0.845,0.782,0.7924528121948242,0.782,0.01045281219482419
Ecoli,413,l2,loss,1.0,True,True,0.1,32,0.8313953280448914,0.814 +- 0.017,0.8301886916160583,0.782 +- 0.038,0.814,0.782,0.8301886916160583,0.782,0.04818869161605832
Ecoli,486,l2,avg,1.0,True,True,0.1,64,0.8447674512863159,0.823 +- 0.02,0.8301886916160583,0.782 +- 0.04,0.823,0.782,0.8301886916160583,0.782,0.04818869161605832
Ecoli,1071,var,avg,1.0,False,True,0.01,32,0.8773255944252014,0.846 +- 0.015,0.8301886916160583,0.782 +- 0.03,0.846,0.782,0.8301886916160583,0.782,0.04818869161605832
