dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Iris,347,l2,None,1.0,True,False,0.1,32,0.9895833134651184,0.974 +- 0.019,0.9583333134651184,0.99 +- 0.018,0.974,0.99,0.9583333134651184,0.974,-0.01566668653488157
Iris,215,l1,avg,1.0,False,False,0.1,32,0.9791666865348816,0.977 +- 0.009,0.9583333134651184,0.969 +- 0.018,0.977,0.969,0.9583333134651184,0.969,-0.010666686534881564
Iris,501,l2,avg,1.0,False,False,0.01,32,0.9791666865348816,0.982 +- 0.014,0.9583333134651184,0.969 +- 0.018,0.982,0.969,0.9583333134651184,0.969,-0.010666686534881564
Iris,564,l2,mult,1.0,True,False,0.1,64,0.9791666865348816,0.969 +- 0.013,0.9583333134651184,0.979 +- 0.021,0.969,0.979,0.9583333134651184,0.969,-0.010666686534881564
Iris,864,max,mult,1.0,False,False,0.1,64,0.9791666865348816,0.974 +- 0.012,0.9583333134651184,0.969 +- 0.018,0.974,0.969,0.9583333134651184,0.969,-0.010666686534881564
Iris,921,var,None,1.0,True,False,0.01,32,0.9895833134651184,0.969 +- 0.015,0.9583333134651184,0.969 +- 0.035,0.969,0.969,0.9583333134651184,0.969,-0.010666686534881564
Iris,1137,var,mult,1.0,True,False,0.01,32,0.9791666865348816,0.971 +- 0.011,0.9583333134651184,0.969 +- 0.018,0.971,0.969,0.9583333134651184,0.969,-0.010666686534881564
Iris,1151,var,mult,1.0,False,False,0.1,32,0.9791666865348816,0.969 +- 0.013,0.9583333134651184,0.979 +- 0.021,0.969,0.979,0.9583333134651184,0.969,-0.010666686534881564
Iris,202,l1,avg,1.0,True,False,0.01,64,0.9791666865348816,0.966 +- 0.017,0.9583333134651184,0.979 +- 0.021,0.966,0.979,0.9583333134651184,0.966,-0.007666686534881562
Iris,324,l2,None,0.5,True,False,0.1,64,0.9791666865348816,0.966 +- 0.014,0.9583333134651184,0.969 +- 0.035,0.966,0.969,0.9583333134651184,0.966,-0.007666686534881562
Iris,705,max,loss,1.0,True,False,0.01,32,0.9791666865348816,0.966 +- 0.009,0.9583333134651184,0.969 +- 0.018,0.966,0.969,0.9583333134651184,0.966,-0.007666686534881562
Iris,837,max,mult,0.5,False,False,0.01,32,0.9895833134651184,0.966 +- 0.015,0.9583333134651184,0.969 +- 0.035,0.966,0.969,0.9583333134651184,0.966,-0.007666686534881562
