dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,full_score,partial_score,partial_scores_mean,diff_full_partial
Parkinson,62,l1,None,1.0,False,True,0.001,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,194,l1,loss,2.0,True,True,0.001,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,531,l2,None,1.0,True,True,0.01,32,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,997,max,None,0.5,False,True,0.001,32,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1155,max,loss,2.0,True,True,0.01,32,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1156,max,loss,2.0,True,True,0.01,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1166,max,loss,2.0,False,True,0.001,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1538,var,None,5.0,True,True,0.001,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1645,var,loss,2.0,False,True,0.001,32,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,1838,var,mult,0.5,False,True,0.001,64,1.0,1.0 +- 0.0,1.0,0.0
Parkinson,796,l2,avg,2.0,True,True,0.01,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,901,l2,mult,1.0,False,True,0.001,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,915,l2,mult,2.0,True,True,0.01,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,938,l2,mult,5.0,True,True,0.001,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1022,max,None,1.0,False,True,0.001,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1408,max,mult,2.0,False,True,0.01,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1465,var,None,0.5,True,True,0.001,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1489,var,None,1.0,True,True,0.001,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1614,var,loss,1.0,True,True,0.1,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1647,var,loss,2.0,False,True,0.01,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1840,var,mult,0.5,False,True,0.01,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1850,var,mult,1.0,True,True,0.001,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1863,var,mult,1.0,False,True,0.01,32,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,1912,var,mult,5.0,False,True,0.01,64,1.0,0.999 +- 0.007,0.999,0.0010000000000000009
Parkinson,93,l1,None,2.0,False,False,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,123,l1,loss,0.0,True,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,280,l1,avg,0.5,False,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,314,l1,avg,2.0,True,True,0.001,64,1.0,0.997 +- 0.013,0.997,0.0030000000000000027
Parkinson,364,l1,mult,0.0,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,375,l1,mult,0.0,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,436,l1,mult,2.0,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,484,l2,None,0.0,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,580,l2,None,5.0,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,591,l2,None,5.0,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,603,l2,loss,0.0,True,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,637,l2,loss,0.5,False,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,745,l2,avg,0.5,True,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,759,l2,avg,0.5,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,829,l2,avg,5.0,False,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,926,l2,mult,2.0,False,True,0.001,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1047,max,None,2.0,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1190,max,loss,5.0,False,True,0.001,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1407,max,mult,2.0,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1456,var,None,0.0,False,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1468,var,None,0.5,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1492,var,None,1.0,True,True,0.01,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1610,var,loss,1.0,True,True,0.001,64,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1719,var,avg,0.5,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1837,var,mult,0.5,False,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1839,var,mult,0.5,False,True,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1849,var,mult,1.0,True,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1885,var,mult,2.0,False,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1905,var,mult,5.0,True,False,0.01,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,1909,var,mult,5.0,False,True,0.001,32,1.0,0.997 +- 0.009,0.997,0.0030000000000000027
Parkinson,39,l1,None,0.5,False,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,87,l1,None,2.0,False,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,136,l1,loss,0.0,False,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,145,l1,loss,0.5,True,True,0.001,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,241,l1,avg,0.0,True,True,0.001,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,268,l1,avg,0.5,True,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,495,l2,None,0.0,False,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,532,l2,None,1.0,True,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,541,l2,None,1.0,False,True,0.001,32,1.0,0.996 +- 0.014,0.996,0.0040000000000000036
Parkinson,649,l2,loss,1.0,True,True,0.001,32,1.0,0.996 +- 0.014,0.996,0.0040000000000000036
Parkinson,697,l2,loss,5.0,True,True,0.001,32,1.0,0.996 +- 0.014,0.996,0.0040000000000000036
Parkinson,700,l2,loss,5.0,True,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,711,l2,loss,5.0,False,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,806,l2,avg,2.0,False,True,0.001,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,986,max,None,0.5,True,True,0.001,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1012,max,None,1.0,True,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1105,max,loss,0.5,True,True,0.001,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1118,max,loss,0.5,False,True,0.001,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1310,max,avg,5.0,False,True,0.001,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1318,max,avg,5.0,False,False,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1444,var,None,0.0,True,True,0.01,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1477,var,None,0.5,False,True,0.001,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1504,var,None,1.0,False,True,0.01,64,1.0,0.996 +- 0.014,0.996,0.0040000000000000036
Parkinson,1513,var,None,2.0,True,True,0.001,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1515,var,None,2.0,True,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1586,var,loss,0.5,True,True,0.001,64,1.0,0.996 +- 0.02,0.996,0.0040000000000000036
Parkinson,1587,var,loss,0.5,True,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1662,var,loss,5.0,True,True,0.1,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1791,var,avg,5.0,False,True,0.01,32,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,1826,var,mult,0.5,True,True,0.001,64,1.0,0.996 +- 0.011,0.996,0.0040000000000000036
Parkinson,63,l1,None,1.0,False,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,75,l1,None,2.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,122,l1,loss,0.0,True,True,0.001,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,183,l1,loss,1.0,False,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,290,l1,avg,1.0,True,True,0.001,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,493,l2,None,0.0,False,True,0.001,32,1.0,0.994 +- 0.015,0.994,0.006000000000000005
Parkinson,565,l2,None,2.0,False,True,0.001,32,1.0,0.994 +- 0.015,0.994,0.006000000000000005
Parkinson,594,l2,None,5.0,False,True,0.1,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,658,l2,loss,1.0,True,False,0.01,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,665,l2,loss,1.0,False,True,0.1,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,685,l2,loss,2.0,False,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,687,l2,loss,2.0,False,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,723,l2,avg,0.0,True,True,0.01,32,1.0,0.994 +- 0.015,0.994,0.006000000000000005
Parkinson,793,l2,avg,2.0,True,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,797,l2,avg,2.0,True,True,0.1,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,820,l2,avg,5.0,True,True,0.01,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,830,l2,avg,5.0,False,True,0.001,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,865,l2,mult,0.5,True,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,891,l2,mult,1.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,952,l2,mult,5.0,False,True,0.01,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,957,l2,mult,5.0,False,False,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,999,max,None,0.5,False,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1035,max,None,2.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1045,max,None,2.0,False,True,0.001,32,1.0,0.994 +- 0.015,0.994,0.006000000000000005
Parkinson,1129,max,loss,1.0,True,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1251,max,avg,1.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1311,max,avg,5.0,False,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1324,max,mult,0.0,True,True,0.01,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1333,max,mult,0.0,False,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1394,max,mult,2.0,True,True,0.001,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1417,max,mult,5.0,True,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1480,var,None,0.5,False,True,0.01,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1526,var,None,2.0,False,True,0.001,64,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1597,var,loss,0.5,False,True,0.001,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1659,var,loss,5.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
Parkinson,1731,var,avg,1.0,True,True,0.01,32,1.0,0.994 +- 0.012,0.994,0.006000000000000005
