dataset,model_all_features,xgb_all_features,model_partial_features,xgb_partial_features,diffs_model_xgb_partial
Spam,0.9649122953414917,0.956140350877193,0.9628655076026916 +- 0.00539947009562266,0.95906432748538 +- 0.011841202766851798,0.0038011801173115497 +- 0.011252563614503643
Iris,0.9333333373069763,0.9333333333333333,0.9333333373069763 +- 0.0,0.7416666666666667 +- 0.2772634126602354,0.19166667064030965 +- 0.27726341266023546
Banknote,0.9672726988792419,0.9963636363636363,0.9009090811014175 +- 0.05389766568108506,0.7936363636363636 +- 0.21214956520466624,0.10727271746505392 +- 0.16740113661209013
Accent,0.7878788113594055,0.7424242424242424,0.7575757602850596 +- 0.04240620499592787,0.6654040404040404 +- 0.09808745257273715,0.09217171988101919 +- 0.09611729142375729
Sensorless,0.9790633916854858,0.9975217911468125,0.9680610187351704 +- 0.023971288789438893,0.9719599213809605 +- 0.11688934674922898,-0.003898902645790144 +- 0.10562481906133844
Wine,0.550000011920929,0.6571428571428571,0.5437847863544117 +- 0.006760990816799365,0.5791280148423006 +- 0.03924470460639578,-0.035343228487888824 +- 0.03618500407963454
Credit,0.8076666593551636,0.8043333333333333,0.8072121233651133 +- 0.0035124316966068255,0.7991868686868687 +- 0.009176969194431868,0.008025254678244543 +- 0.009003471315477712
Wifi,0.9725000262260437,0.9825,0.966785728931427 +- 0.01730578210969755,0.8803571428571428 +- 0.15007396135756204,0.08642858607428414 +- 0.13662288575771622
Ecoli,0.6323529481887817,0.7794117647058824,0.638655458177839 +- 0.03130182129832901,0.6659663865546219 +- 0.11939724570069597,-0.027310928376782832 +- 0.11266459685190962
Sonar,0.8809523582458496,0.8333333333333334,0.8821428428093593 +- 0.017617441872311408,0.8281746031746031 +- 0.020889003473415647,0.05396823963475604 +- 0.02294735514596035
Breast,0.9561403393745422,0.956140350877193,0.9584795335928599 +- 0.00904071468975788,0.95906432748538 +- 0.011841202766851798,-0.0005847938925201968 +- 0.01466659037810744
HTRU2,0.9793295860290527,0.9779329608938547,0.978701114654541 +- 0.0005884209400098672,0.9675279329608939 +- 0.02097472902122484,0.011173181693647144 +- 0.020882102574835682
Parkinson,0.9487179517745972,0.9487179487179487,0.9219114265658639 +- 0.02380020587354411,0.9370629370629371 +- 0.026475097183218037,-0.01515151049707318 +- 0.04280738266916385
